GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150433,57.14285714285714,12.359550561797752,18.9,0.0,96.6,89.26770223925762,31.6,0.0,0.0,42.4,6.1,18.8,2.0,6.1,85.03668763102725,15.3,20.2,31.914893617021278,33.3,37.1,21.1,36.4,0.0,15.2,67.7,9.4,6.1,84.89999999999999,18.2
59150434,37.83783783783784,9.090909090909092,8.3,0.0,97.8,93.50413556586645,10.3,0.0,0.0,39.0,8.5,19.8,6.1,0.0,85.16771488469601,17.1,22.1,33.33333333333333,41.2,46.8,27.6,32.4,0.0,47.1,76.8,0.0,5.8,70.5,23.6
59150435,64.81481481481481,6.956521739130435,15.9,0.0,98.7,92.79806334476498,25.4,0.0,0.0,45.6,22.4,23.0,1.6,4.8,87.78825995807128,5.6,21.7,32.78688524590164,38.1,40.9,32.2,33.3,0.0,31.0,90.5,3.7,5.5,81.0,19.0
59150436,51.42857142857142,8.333333333333332,11.2,0.0,96.8,93.10066572523704,29.7,0.0,0.0,40.7,13.0,21.0,3.7,6.3,91.71907756813417,11.3,17.4,29.72972972972973,47.6,54.9,25.0,38.1,0.0,31.3,78.4,7.1,4.6,60.2,27.0
59150437,58.82352941176471,5.909090909090909,14.8,0.0,98.6,94.21020778696793,21.6,0.0,0.0,45.7,4.1,17.6,1.2,2.5,95.64989517819707,17.4,18.6,31.683168316831683,59.2,57.3,33.0,50.0,0.0,36.7,83.1,5.5,3.5,22.5,11.7
59150438,54.43037974683544,3.79746835443038,9.2,0.0,98.9,92.63667540851321,19.2,0.0,0.0,44.4,15.0,21.4,0.0,0.0,91.71907756813417,21.4,22.8,39.24050632911392,51.5,49.4,31.5,32.4,0.0,34.8,91.0,7.3,4.3,42.8,24.9
59150439,47.05882352941176,6.0606060606060606,14.3,0.0,100.0,94.00847286665322,9.7,0.0,0.0,54.7,8.0,29.2,0.0,11.1,85.16771488469601,12.0,24.2,25.0,55.6,43.9,9.7,51.9,0.0,35.7,96.0,8.2,4.8,70.3,25.9
59150440,47.05882352941176,9.022556390977442,6.3,0.0,94.9,90.07464192051644,19.6,0.0,0.0,39.9,7.8,20.0,0.0,6.3,85.03668763102725,8.1,24.1,39.0625,37.5,42.9,17.9,29.2,0.0,18.8,77.0,3.8,6.1,64.60000000000001,31.299999999999997
59150442,48.275862068965516,3.7037037037037033,15.2,0.0,95.0,93.70587048618115,9.3,0.0,0.0,63.2,2.6,26.8,0.0,0.0,83.85744234800839,8.5,20.4,45.09803921568628,50.0,44.4,18.6,25.0,0.0,25.6,89.7,2.5,6.2,50.099999999999994,36.4
59150443,66.66666666666666,4.918032786885246,17.7,0.0,96.6,92.59632842445028,23.8,0.0,0.0,44.3,14.3,17.0,2.9,0.0,85.16771488469601,19.4,15.6,28.07017543859649,42.4,63.1,23.8,54.2,2.1,22.4,81.4,3.2,5.0,47.5,20.4
59150444,47.05882352941176,6.896551724137931,18.7,0.0,96.6,90.37724430098851,15.8,0.0,0.0,30.4,20.3,18.6,2.5,7.7,82.0230607966457,11.5,19.3,32.467532467532465,50.0,42.8,14.0,42.3,0.0,33.3,81.8,4.4,6.0,61.5,26.900000000000002
